Id,Prediction
0,4208761.23
1,3964707.47
2,4563291.9
3,4128833.19
4,6690859.79
5,4497480.885
6,3891833.19
7,5340373.5275
8,4938207.42
9,5976475.914333334
10,5259341.985
11,4247970.5
12,6514294.26
13,10112760.165
14,4190150.645
15,4408652.435
16,4643042.59
17,4696622.71
18,6221100.565
19,5290789.075
20,3315456.14
21,5762075.8375
22,4411252.565
23,4521867.65
24,4643314.47
25,3881206.59
26,3461040.93
27,5980673.0
28,5639093.94
29,5914771.545
30,5800721.87
31,4340979.23
32,4388186.3575
33,3901618.14
34,3688695.54
35,4822518.505
36,4904272.71
37,6550963.48
38,3208143.85
39,4822611.871
40,4108114.546666667
41,4291026.82
42,5325847.9
43,4770487.82
44,5428274.98
45,5421117.67
46,4193039.01
47,3988491.59
48,4463311.155
49,6030768.67
50,4353466.8
51,4444456.77
52,5111518.63
53,4901522.55
54,2902626.66
55,4883098.954166667
56,7013064.26
57,6032951.8
58,4764853.25
59,4856136.605
60,2587152.14
61,3359805.23
62,4687526.45
63,4445116.44
64,4735443.35
65,4754711.915
66,4448474.691666666
67,4635269.58
68,4577610.03
69,4775660.32
70,4049630.16
71,4795437.485
72,4395611.35
73,5740365.84
74,6225464.3975
75,4837847.04
76,4794605.45
77,6821006.73
78,5091014.912
79,4797208.49
80,5568339.31
81,4856307.8
82,4503481.325
83,4242941.96
84,4527764.75
85,2052244.76
86,3721532.69
87,5635407.0025
88,5184501.471
89,4386153.1125
90,5416322.99
91,3281873.64
92,2911127.12
93,5751426.347
94,5798332.42
95,4131965.8
96,5945906.12
97,4993227.69
98,4136177.42
99,4658941.17
100,3568692.43
101,2621403.02
102,4877572.54
103,4013782.64
104,2425528.77
105,3311428.92
106,6894009.04
107,3503346.99
108,4807776.345833333
109,5573512.395
110,5327898.98
111,4161820.9825
112,4281439.36
113,3324157.72
114,3996307.61
115,4354229.421
116,3862229.25
117,4209868.458500001
118,4067573.37
119,4865797.42
120,5788716.605
121,5722034.75
122,3564621.41
123,5405944.8
124,5090825.4
125,3958239.29
126,6942067.45
127,3664491.58
128,6338840.02
129,4978972.02
130,2774942.05
131,4883846.73
132,6994204.835166666
133,3670265.75
134,4865822.9
135,4259365.8
136,4653770.315
137,4367158.3
138,7011018.83
139,5023561.98
140,6316076.72
141,3682424.32
142,5763809.07
143,3083996.16
144,5263839.34
145,3213170.98
146,4591139.11
147,3149739.4675
148,4630523.78
149,4662983.54
150,3838117.05
151,3506515.18
152,5190795.965
153,6702362.56
154,3443752.175
155,6966094.42
156,4566915.9195
157,5043548.151833333
158,4477640.24
159,3957481.27
160,4668516.115
161,4191337.8
162,3015138.69
