Id,Prediction
0,5204045.771
1,3399106.456
2,3983093.501
3,3255027.585
4,3770066.601
5,4464142.546
6,5045265.108
7,3580721.081
8,5990204.648
9,4753198.858
10,4473114.915
11,3592329.53
12,8871780.514
13,9644173.846
14,3991690.001
15,6000258.41
16,4880383.528
17,4116137.44
18,6676692.718
19,3664674.323
20,3094303.81
21,6708904.531
22,5008743.012
23,5830301.682
24,4190644.834
25,3364194.605
26,3333739.923
27,4519626.941
28,4696724.184
29,4300313.701
30,6032822.258
31,3339694.986
32,3829843.263
33,5723398.07
34,2727858.965
35,6305485.059
36,4864180.215
37,5761188.054
38,3243275.37
39,4282117.77
40,3884121.117
41,4349784.691
42,4762650.999
43,5843231.028
44,6459387.147
45,3599550.343
46,3792922.258
47,2376888.072
48,4799938.459
49,5502126.435
50,5423991.795
51,3776442.349
52,4407261.848
53,3119086.646
54,3755150.097
55,4817799.11
56,5981292.689
57,4532277.216
58,5681069.594
59,5495452.141
60,4597054.586
61,4760605.141
62,4874902.389
63,4049310.051
64,5449837.071
65,9660864.572
66,5904346.689
67,8497371.587
68,4982243.374
69,5515455.451
70,3648324.552
71,3282587.042
72,4512734.577
73,6197543.617
74,6255348.063
75,5215972.855
76,5469789.063
77,4747754.497
78,5404478.837
79,4003304.599
80,6198363.696
81,5982922.106
82,4860843.269
83,4835475.577
84,8925538.453
85,2141277.587
86,6212475.197
87,6845554.135
88,4911420.591
89,3788774.797
90,5318220.743
91,4455399.584
92,3476303.628
93,3837786.819
94,7591603.802
95,3768541.839
96,4220377.891
97,4686758.296
98,5929071.859
99,5939137.853
100,7197917.495
101,2703714.78
102,4949110.151
103,4877473.438
104,4911328.307
105,2856992.039
106,5124146.259
107,7427425.515
108,6169869.348
109,4271959.402
110,5761069.665
111,4287043.148
112,6178013.006
113,4390184.541
114,4806974.0
115,4296160.806
116,3508251.301
117,5672031.766
118,4073041.846
119,5532721.02
120,6513828.365
121,5507251.963
122,6654043.139
123,6240302.595
124,3037288.425
125,3736645.561
126,5887425.601
127,3914704.557
128,5958081.318
129,4263326.697
130,4224652.58
131,4187065.006
132,5465995.292
133,3508118.352
134,4448724.96
135,3539773.256
136,5166206.983
137,4288441.883
138,4878365.907
139,4764182.325
140,6459401.927
141,3532403.808
142,5655653.166
143,4863721.938
144,5448290.653
145,3595540.789
146,4015766.634
147,3860763.726
148,5025086.873
149,4273822.763
150,5261290.752
151,4142831.11
152,9412321.683
153,6932882.987
154,4589763.135
155,5970711.463
156,5585969.482
157,5806386.325
158,4457417.06
159,4314648.488
160,3410658.122
161,5906698.733
162,5260967.183
163,8453631.196
164,6649517.988
165,4856759.404
166,3843300.882
167,3745593.981
168,4469015.515
169,4695239.302
170,3637481.659
171,3839204.162
172,3995716.585
173,7210952.035
174,7732181.23
175,3272574.887
176,8439853.68
177,4769553.498
178,5473129.392
179,3729325.987
180,5748903.099
181,3805160.895
182,5424806.895
183,4953303.779
184,4230393.276
185,3349209.144
186,4881615.656
187,4118480.548
188,5819909.042
189,4933313.267
190,5350965.586
191,4342479.653
192,6264835.582
193,9242973.742
194,4723641.579
195,10161166.763
196,4513506.074
197,2883964.721
198,4355217.283
199,5070345.012
200,5501689.024
201,4194657.15
202,5038801.514
203,7397684.168
204,5338662.039
205,7284027.819
206,6198681.792
207,5003569.522
208,5326249.405
209,3608235.838
210,5389289.409
211,6183512.419
212,3983528.737
213,3369061.088
214,8788736.361
215,2358905.518
216,5255601.089
217,6735065.36
218,5201264.116
219,3478735.703
220,6986175.841
221,5512092.738
222,6227080.665
223,5358344.384
224,4582972.188
225,5208167.127
226,4119295.129
227,6547238.431
228,3105981.89
229,4315581.449
230,5232528.405
231,6917240.7
232,6964535.792
233,4607085.041
234,3663922.514
235,5691920.539
236,6195855.413
237,3533045.405
238,5887136.363
239,3892646.72
240,5050990.448
241,4334125.738
242,3374857.59
243,4600043.971
244,4467568.925
245,5992193.067
246,5405444.247
247,5585807.601
248,5070361.254
249,4700935.892
250,5119945.027
251,5698741.561
252,6133583.852
253,4127014.65
254,6168609.239
255,5186278.199
256,4631764.096
257,5840385.003
258,4160877.173
259,4940060.791
260,3595180.946
261,7187744.368
262,4734984.68
263,4148522.629
264,2102526.742
265,4408576.065
266,5182780.648
267,7126599.596
268,4781646.28
269,3771968.322
270,4017926.766
271,3621879.095
272,5777190.646
273,4704982.507
274,3733795.754
275,6098695.694
276,6735684.95
277,4837971.003
278,4924696.174
279,5848170.158
280,4583405.945
281,5961571.681
282,4388329.825
283,4431558.482
284,4347848.951
285,4591704.143
286,4369862.984
287,4725732.93
288,5407285.29
289,3862720.593
290,3656776.44
291,5223363.828
292,3789865.22
293,5027764.593
294,4639347.388
295,6386571.66
296,10595396.37
297,5570692.985
298,8920932.46
299,5990761.054
300,3978573.689
301,4975435.511
302,8250029.444
303,6953509.438
304,4287611.826
305,6155418.05
306,4238081.768
307,6862098.7
308,2372072.682
309,3640966.101
310,5067985.977
311,4765000.795
312,4198358.272
313,5347173.61
314,4188858.578
315,3561659.779
316,3545077.57
317,5786008.086
318,6504685.691
319,3957553.918
320,5153122.697
321,4475558.152
322,4262703.702
323,6858157.099
324,3980193.416
325,4761546.591
326,7047408.111
327,3873996.49
328,4445121.459
329,5209784.537
330,6340630.81
331,9686079.006
332,6475166.647
333,7504820.286
334,5150600.346
335,5149167.135
336,4394560.869
337,5352620.227
338,4293982.568
339,3753952.471
340,4439063.897
341,4030149.787
342,6010505.521
343,4973243.118
344,7184551.913
345,3874523.033
346,3527971.123
347,5471031.03
348,3524336.179
349,6947920.652
350,4305579.467
351,5780693.887
352,6209492.273
353,3660909.068
354,3609091.947
355,4197844.653
356,3922303.184
357,3514069.512
358,6275738.976
359,6055143.039
360,4946649.641
361,6119177.491
362,4996378.709
363,5633449.547
364,11080258.163
365,4165289.154
366,4195951.737
367,5253840.978
368,5175198.051
369,5484941.624
370,5411376.124
371,4933191.926
372,7139800.558
373,9783481.649
374,5062371.551
375,4095819.6
376,5248284.25
377,4782441.959
378,6207390.381
379,4226561.334
380,6107037.219
381,3749908.332
382,3782613.74
383,5278587.619
384,5075727.555
385,6193208.234
386,4112932.645
387,5684660.698
388,3971940.665
389,4971189.515
390,5447028.42
391,4462168.774
392,3920443.235
393,6153878.372
394,4621823.492
395,3363100.419
396,6289528.491
397,5770658.627
398,7807483.611
399,5314034.398
400,4612735.208
401,4475328.194
402,3652559.56
403,8567797.656
404,3736697.102
405,3947688.1
406,4827357.327
407,4233660.873
408,2341781.667
409,3642173.641
410,5155770.052
411,4563119.04
412,5453713.263
413,8415174.223
414,4976326.297
415,5334338.829
416,6116054.925
417,3485876.092
418,4441933.444
419,4018063.352
420,4635004.031
421,4276980.391
422,7783948.691
423,3150872.88
424,4123627.034
425,4256062.341
426,4607079.138
427,4115097.333
428,4686169.401
429,4321660.675
430,4719418.831
431,4577579.944
432,2710643.615
433,5439822.132
434,3918628.769
435,4721556.6
436,3628145.201
437,3363832.975
438,3326746.037
439,6781497.987
440,4160857.163
441,4635062.598
442,7252750.398
443,8917037.077
444,4635646.443
445,7152408.206
446,8919031.858
447,4956360.27
448,6138402.772
449,8050667.214
450,5676897.624
451,4691271.515
452,3735558.419
453,4479923.006
454,5034794.025
455,5384085.958
456,3925646.986
457,4848230.871
458,5262413.491
459,3163977.716
